loc_id,symbol,world_x,world_y,level,local_x,local_z,shape,angle,region_x,region_y
10787,seaweedrock_1,3157,3136,0,21,0,10,1,49,49
10786,seaweedrock_large,3161,3136,0,25,0,10,0,49,49
10787,seaweedrock_1,3179,3136,0,43,0,10,1,49,49
10786,seaweedrock_large,3185,3136,0,49,0,10,0,49,49
10788,seaweedrock_2,3159,3137,0,23,1,10,3,49,49
10788,seaweedrock_2,3177,3137,0,41,1,10,3,49,49
10786,seaweedrock_large,3156,3138,0,20,2,10,1,49,49
10787,seaweedrock_1,3175,3138,0,39,2,10,2,49,49
10787,seaweedrock_1,3162,3139,0,26,3,10,0,49,49
16453,randomsound_gentle_waves,3164,3139,0,28,3,22,0,49,49
4735,short_grass_1,3198,3139,0,62,3,22,3,49,49
30108,mistmyst_boat_lumbridge,3238,3139,0,38,3,10,1,50,49
10787,seaweedrock_1,3154,3140,0,18,4,10,2,49,49
10787,seaweedrock_1,3159,3140,0,23,4,10,3,49,49
1390,jungle2,3185,3140,0,49,4,10,0,49,49
4735,short_grass_1,3195,3140,0,59,4,22,3,49,49
4735,short_grass_1,3196,3140,0,60,4,22,1,49,49
4735,short_grass_1,3197,3140,0,61,4,22,2,49,49
4735,short_grass_1,3198,3140,0,62,4,22,2,49,49
4735,short_grass_1,3199,3140,0,63,4,22,0,49,49
4735,short_grass_1,3194,3141,0,58,5,22,0,49,49
4736,short_grass_2,3195,3141,0,59,5,22,3,49,49
4737,short_grass_3,3196,3141,0,60,5,22,2,49,49
4737,short_grass_3,3197,3141,0,61,5,22,2,49,49
4736,short_grass_2,3198,3141,0,62,5,22,2,49,49
4735,short_grass_1,3199,3141,0,63,5,22,3,49,49
4735,short_grass_1,3200,3141,0,0,5,22,2,50,49
4737,short_grass_3,3205,3141,0,5,5,22,2,50,49
4737,short_grass_3,3206,3141,0,6,5,22,2,50,49
7389,transportation_icon,3239,3141,0,39,5,22,0,50,49
3949,dugupsoil2_brownmud,3144,3142,0,8,6,22,1,49,49
3949,dugupsoil2_brownmud,3145,3142,0,9,6,22,2,49,49
3949,dugupsoil2_brownmud,3146,3142,0,10,6,22,3,49,49
4735,short_grass_1,3190,3142,0,54,6,22,1,49,49
4735,short_grass_1,3191,3142,0,55,6,22,3,49,49
4735,short_grass_1,3192,3142,0,56,6,22,3,49,49
4735,short_grass_1,3193,3142,0,57,6,22,2,49,49
4735,short_grass_1,3194,3142,0,58,6,22,2,49,49
4737,short_grass_3,3195,3142,0,59,6,22,3,49,49
4738,short_grass_4,3196,3142,0,60,6,22,3,49,49
4738,short_grass_4,3197,3142,0,61,6,22,3,49,49
4737,short_grass_3,3198,3142,0,62,6,22,1,49,49
4735,short_grass_1,3200,3142,0,0,6,22,1,50,49
4735,short_grass_1,3201,3142,0,1,6,22,3,50,49
4735,short_grass_1,3202,3142,0,2,6,22,0,50,49
4735,short_grass_1,3203,3142,0,3,6,22,0,50,49
4737,short_grass_3,3204,3142,0,4,6,22,3,50,49
4738,short_grass_4,3205,3142,0,5,6,22,2,50,49
4738,short_grass_4,3206,3142,0,6,6,22,2,50,49
4737,short_grass_3,3207,3142,0,7,6,22,1,50,49
4735,short_grass_1,3209,3142,0,9,6,22,3,50,49
4735,short_grass_1,3210,3142,0,10,6,22,2,50,49
3949,dugupsoil2_brownmud,3143,3143,0,7,7,22,0,49,49
3949,dugupsoil2_brownmud,3144,3143,0,8,7,22,0,49,49
3949,dugupsoil2_brownmud,3145,3143,0,9,7,22,3,49,49
3949,dugupsoil2_brownmud,3146,3143,0,10,7,22,2,49,49
3949,dugupsoil2_brownmud,3147,3143,0,11,7,22,2,49,49
3950,dugupsoil3_brownmud,3148,3143,0,12,7,22,3,49,49
4735,short_grass_1,3184,3143,0,48,7,22,0,49,49
4735,short_grass_1,3185,3143,0,49,7,22,1,49,49
4735,short_grass_1,3186,3143,0,50,7,22,2,49,49
4735,short_grass_1,3189,3143,0,53,7,22,3,49,49
4735,short_grass_1,3190,3143,0,54,7,22,3,49,49
4736,short_grass_2,3191,3143,0,55,7,22,3,49,49
4737,short_grass_3,3192,3143,0,56,7,22,2,49,49
4736,short_grass_2,3193,3143,0,57,7,22,2,49,49
4735,short_grass_1,3194,3143,0,58,7,22,1,49,49
4735,short_grass_1,3195,3143,0,59,7,22,1,49,49
4737,short_grass_3,3196,3143,0,60,7,22,0,49,49
4737,short_grass_3,3197,3143,0,61,7,22,0,49,49
4735,short_grass_1,3198,3143,0,62,7,22,1,49,49
4735,short_grass_1,3201,3143,0,1,7,22,2,50,49
4736,short_grass_2,3202,3143,0,2,7,22,3,50,49
4737,short_grass_3,3203,3143,0,3,7,22,2,50,49
4736,short_grass_2,3204,3143,0,4,7,22,2,50,49
4737,short_grass_3,3205,3143,0,5,7,22,0,50,49
4737,short_grass_3,3206,3143,0,6,7,22,0,50,49
4735,short_grass_1,3207,3143,0,7,7,22,3,50,49
4735,short_grass_1,3208,3143,0,8,7,22,1,50,49
4735,short_grass_1,3209,3143,0,9,7,22,1,50,49
4735,short_grass_1,3210,3143,0,10,7,22,0,50,49
4735,short_grass_1,3211,3143,0,11,7,22,3,50,49
4735,short_grass_1,3212,3143,0,12,7,22,2,50,49
4736,short_grass_2,3215,3143,0,15,7,22,3,50,49
4737,short_grass_3,3216,3143,0,16,7,22,2,50,49
4736,short_grass_2,3217,3143,0,17,7,22,2,50,49
3949,dugupsoil2_brownmud,3227,3143,0,27,7,22,0,50,49
3949,dugupsoil2_brownmud,3143,3144,0,7,8,22,1,49,49
3948,dugupsoil1_brownmud,3144,3144,0,8,8,22,0,49,49
3948,dugupsoil1_brownmud,3145,3144,0,9,8,22,2,49,49
3950,dugupsoil3_brownmud,3146,3144,0,10,8,22,3,49,49
3948,dugupsoil1_brownmud,3147,3144,0,11,8,22,3,49,49
3948,dugupsoil1_brownmud,3148,3144,0,12,8,22,0,49,49
11373,mithrilrock2,3148,3144,0,12,8,10,0,49,49
3949,dugupsoil2_brownmud,3149,3144,0,13,8,22,0,49,49
4735,short_grass_1,3183,3144,0,47,8,22,3,49,49
4736,short_grass_2,3184,3144,0,48,8,22,3,49,49
4737,short_grass_3,3185,3144,0,49,8,22,2,49,49
4736,short_grass_2,3186,3144,0,50,8,22,2,49,49
4735,short_grass_1,3187,3144,0,51,8,22,2,49,49
4735,short_grass_1,3189,3144,0,53,8,22,0,49,49
4735,short_grass_1,3190,3144,0,54,8,22,0,49,49
4737,short_grass_3,3191,3144,0,55,8,22,3,49,49
4738,short_grass_4,3192,3144,0,56,8,22,1,49,49
4737,short_grass_3,3193,3144,0,57,8,22,1,49,49
4735,short_grass_1,3194,3144,0,58,8,22,0,49,49
4735,short_grass_1,3195,3144,0,59,8,22,2,49,49
4735,short_grass_1,3196,3144,0,60,8,22,0,49,49
4735,short_grass_1,3201,3144,0,1,8,22,0,50,49
4737,short_grass_3,3202,3144,0,2,8,22,3,50,49
4738,short_grass_4,3203,3144,0,3,8,22,2,50,49
4737,short_grass_3,3204,3144,0,4,8,22,1,50,49
4735,short_grass_1,3205,3144,0,5,8,22,3,50,49
4735,short_grass_1,3206,3144,0,6,8,22,2,50,49
4735,short_grass_1,3207,3144,0,7,8,22,0,50,49
4737,short_grass_3,3208,3144,0,8,8,22,2,50,49
4737,short_grass_3,3209,3144,0,9,8,22,2,50,49
4737,short_grass_3,3210,3144,0,10,8,22,2,50,49
4737,short_grass_3,3211,3144,0,11,8,22,2,50,49
4735,short_grass_1,3212,3144,0,12,8,22,1,50,49
4735,short_grass_1,3213,3144,0,13,8,22,0,50,49
4737,short_grass_3,3215,3144,0,15,8,22,3,50,49
4738,short_grass_4,3216,3144,0,16,8,22,2,50,49
4737,short_grass_3,3217,3144,0,17,8,22,1,50,49
3949,dugupsoil2_brownmud,3224,3144,0,24,8,22,1,50,49
3949,dugupsoil2_brownmud,3225,3144,0,25,8,22,0,50,49
3949,dugupsoil2_brownmud,3226,3144,0,26,8,22,0,50,49
3949,dugupsoil2_brownmud,3227,3144,0,27,8,22,0,50,49
3950,dugupsoil3_brownmud,3228,3144,0,28,8,22,2,50,49
10943,copperrock1,3228,3144,0,28,8,10,2,50,49
3949,dugupsoil2_brownmud,3229,3144,0,29,8,22,0,50,49
3950,dugupsoil3_brownmud,3230,3144,0,30,8,22,2,50,49
3949,dugupsoil2_brownmud,3142,3145,0,6,9,22,2,49,49
3948,dugupsoil1_brownmud,3143,3145,0,7,9,22,1,49,49
3948,dugupsoil1_brownmud,3144,3145,0,8,9,22,2,49,49
11372,mithrilrock1,3144,3145,0,8,9,10,1,49,49
3948,dugupsoil1_brownmud,3145,3145,0,9,9,22,2,49,49
3949,dugupsoil2_brownmud,3146,3145,0,10,9,22,3,49,49
11373,mithrilrock2,3146,3145,0,10,9,10,1,49,49
3948,dugupsoil1_brownmud,3147,3145,0,11,9,22,3,49,49
3949,dugupsoil2_brownmud,3148,3145,0,12,9,22,1,49,49
3950,dugupsoil3_brownmud,3149,3145,0,13,9,22,3,49,49
3949,dugupsoil2_brownmud,3150,3145,0,14,9,22,1,49,49
4735,short_grass_1,3176,3145,0,40,9,22,3,49,49
4735,short_grass_1,3177,3145,0,41,9,22,0,49,49
4735,short_grass_1,3178,3145,0,42,9,22,1,49,49
4735,short_grass_1,3179,3145,0,43,9,22,2,49,49
4735,short_grass_1,3183,3145,0,47,9,22,2,49,49
4737,short_grass_3,3184,3145,0,48,9,22,3,49,49
4738,short_grass_4,3185,3145,0,49,9,22,0,49,49
4737,short_grass_3,3186,3145,0,50,9,22,1,49,49
4735,short_grass_1,3187,3145,0,51,9,22,3,49,49
4735,short_grass_1,3190,3145,0,54,9,22,2,49,49
4736,short_grass_2,3191,3145,0,55,9,22,0,49,49
4737,short_grass_3,3192,3145,0,56,9,22,0,49,49
4736,short_grass_2,3193,3145,0,57,9,22,1,49,49
4735,short_grass_1,3194,3145,0,58,9,22,1,49,49
4735,short_grass_1,3197,3145,0,61,9,22,1,49,49
4735,short_grass_1,3198,3145,0,62,9,22,2,49,49
4735,short_grass_1,3199,3145,0,63,9,22,2,49,49
4735,short_grass_1,3200,3145,0,0,9,22,2,50,49
4735,short_grass_1,3201,3145,0,1,9,22,1,50,49
4736,short_grass_2,3202,3145,0,2,9,22,0,50,49
4737,short_grass_3,3203,3145,0,3,9,22,0,50,49
4736,short_grass_2,3204,3145,0,4,9,22,1,50,49
